,WEEK #,COCKTAIL
Syrup [Demerara],88,Tiki Edition – Navy Grog
Syrup [Demerara],96,Toronto [guest post by /u/_chrono]
Syrup [Demerara],96,Toronto [guest post by /u/_chrono]
Syrup [Demerara],97,Flannel Shirt
Syrup [Demerara],97,Flannel Shirt
Syrup [Demerara],102,Admiral Russel's Punch
Syrup [Demerara],102,Admiral Russell's Punch
Syrup [Demerara],75a,Bumbo
Syrup [Demerara],87a,Tiki Edition – Queen’s Park Swizzle
Syrup [Demerara],87a,Tiki Edition – Queen’s Park Swizzle
Syrup [Demerara],87b,Tiki Edition – 151 Swizzle
Syrup [Demerara],118a,Pineapple Daiquiri
Syrup [Falernum],28,Mai Tai
Syrup [Falernum],40,Zombie [guest post by /u/bitcheslovebanjos]
Syrup [Falernum],74,Chartreuse Swizzle
Syrup [Falernum],83,Tiki Edition - Three Dots & A Dash
Syrup [Falernum],86,Tiki Edition – Royal Bermuda Yacht Club [guest post by /u/gregbenson314]
Syrup [Falernum],120,Saturn
Syrup [Ginger],41,Penicillin
Syrup [Gram Masala Spiced Apple],47a,Vasco de Gama
Syrup [Grenadine],13,Jack Rose
Syrup [Grenadine],24,Clover Club
Syrup [Grenadine],40,Zombie [guest post by /u/bitcheslovebanjos]
Syrup [Grenadine],46,Scofflaw
Syrup [Grenadine],48,Twelve Mile Limit
Syrup [Grenadine],56,Ward Eight
Syrup [Grenadine],66,Deauville
Syrup [Grenadine],68,Jake Barnes
Syrup [Grenadine],70,Singapore Sling
Syrup [Grenadine],72,Mary Pickford
Syrup [Grenadine],90,Sloe Gin Fizz
Syrup [Grenadine],95,Royal Smile
Syrup [Gum],2,The Manhattan
Syrup [Gum],15,Martinez
Syrup [Gum],26, Improved Whiskey Cocktail
Syrup [Gum],27,Daiquiri
Syrup [Gum],52,Old-Fashioned
Syrup [Gum],61,Sazerac
Syrup [Gum],73,Martini [guest post by /u/highbrowalcoholic]
Syrup [Maple],115,Sweet and Vicious
Syrup [Orgeat Almond],28,Mai Tai
Syrup [Orgeat],28,Mai Tai
Syrup [Orgeat],34,Cameron’s Kick
Syrup [Orgeat],37,Japanese
Syrup [Orgeat],120,Saturn
Syrup [Passion Fruit],40,Zombie [guest post by /u/bitcheslovebanjos]
Syrup [Passion Fruit],119,Golden Beautiful
Syrup [Passion Fruit],120,Saturn
Syrup [Raspberry],24,Clover Club
Syrup [Raspberry],66,Deauville
Syrup [Raspberry],90,Sloe Gin Fizz
Syrup [Rock Candy],28,Mai Tai
Syrup [Rock Candy],88,Tiki Edition – Navy Grog
Syrup [Simple],6,Ramos Gin Fizz
Syrup [Simple],7,Lion’s Tail
Syrup [Simple],8,Sidecar
Syrup [Simple],17,Pimm’s Cup
Syrup [Simple],19,Intro to Aperol
Syrup [Simple],24,Clover Club
Syrup [Simple],25,Angostura Sour [guest post by /u/montreal-gloryhole]
Syrup [Simple],26, Improved Whiskey Cocktail
Syrup [Simple],27,Daiquiri
Syrup [Simple],30,Southside and Southern Exposure
Syrup [Simple],33,Rattlesnake [guest post by /u/GWCad]
Syrup [Simple],52,Old-Fashioned
Syrup [Simple],55,Amaretto Sour
Syrup [Simple],56,Ward Eight
Syrup [Simple],61,Sazerac
Syrup [Simple],62,Champs Élysées
Syrup [Simple],64,Brass Rail
Syrup [Simple],69,Mint Julep [guest post by /u/GWCad]
Syrup [Simple],75a,Bumbo
Syrup [Simple],76,Gimlet
Syrup [Simple],78,Melon Stand
Syrup [Simple],80,Mojito
Syrup [Simple],82,Cloister [guest post by /u/GWCad]
Syrup [Simple],84,Tiki Edition – Hotel Nacional Special
Syrup [Simple],85,Tiki Edition – Jungle Bird
Syrup [Simple],89,Industry Sour
Syrup [Simple],90,Sloe Gin Fizz
Syrup [Simple],93,Earl Grey MarTEAni & Mandala [guest post by /u/ems88]
Syrup [Simple],103,Hot Toddy
Syrup [Simple],107,Latin Quarter
Syrup [Simple],118b,Pineapple Express
Syrup [Simple],121,Little Miss Annabelle
Syrup [Spiced Rich],47b,Afonso de Albuquerque
Syrup [Turbinado],28,Mai Tai
Syrup [Vanilla],119,Golden Beautiful
Tea [Earl Grey],93,Earl Grey MarTEAni & Mandala [guest post by /u/ems88]
Tequila [Blanco],67,20th Century [guest post by /u/whaleodile]
Tequila [Reposado],119,Golden Beautiful
Torani Amer,99,Brooklyn [guest post by /u/bitcheslovebanjos]
Triple Sec,22,Claridge
Triple Sec,66,Deauville
Triple Sec,70,Singapore Sling
Vermouth [Bianco],9,Greenpoint [guest post by /u/wallunit]
Vermouth [Dry],15,Martinez
Vermouth [Dry],22,Claridge
Vermouth [Dry],36,Armistice
Vermouth [Dry],38,Lucien Gaudin
Vermouth [Dry],42,Delmonico
Vermouth [Dry],46,Scofflaw
